Year,Month,Day,Hour,Latitude,Longitude,2m dew point T (C),2m T (C),10m u (m s**-1),10m v (m s**-1),Press (hPa),Total Precip (mm)
2024,7,1,0,1.4,36.9,12.2,17.9,-2,0.2,881.5,0.1
2024,7,1,0,1.4,37,12.6,18.2,-1.6,-0.1,890.7,0.1
2024,7,1,0,1.4,37.1,12.4,18,-1,-0.4,887.9,0
2024,7,1,0,1.4,37.2,11.8,17.1,-0.9,-0.2,877,0
2024,7,1,0,1.4,37.3,12.3,17.2,-1.1,0,883.9,0
2024,7,1,0,1.4,37.4,14.6,18.5,-1.3,0.1,914.4,0
2024,7,1,0,1.4,37.5,15.5,20.4,-1.7,0.5,931.8,0
2024,7,1,0,1.4,37.6,15.5,21.1,-2.2,1.1,932.8,0
2024,7,1,0,1.4,37.7,15.8,21.7,-2.8,1.6,938.8,0
2024,7,1,0,1.4,37.8,16.2,22.2,-3.1,1.8,946.1,0
2024,7,1,0,1.4,37.9,16.2,22.4,-3.4,2,946.1,0
2024,7,1,0,1.4,38,16.2,22.6,-3.7,2.2,949.4,0
2024,7,1,0,1.3,36.9,12,16.7,-1.3,0.4,879.3,0.2
2024,7,1,0,1.3,37,11.7,17.8,-1.1,0.2,882.9,0.1
2024,7,1,0,1.3,37.1,11.1,18.5,-0.8,-0.1,879.5,0.1
2024,7,1,0,1.3,37.2,11.1,16.3,-0.8,-0.1,860,0.1
2024,7,1,0,1.3,37.3,11.1,16,-0.9,0,861.9,0
2024,7,1,0,1.3,37.4,13.8,18.4,-1.1,0.1,899.9,0
2024,7,1,0,1.3,37.5,15.6,20,-1.5,0.5,931.1,0
2024,7,1,0,1.3,37.6,15.7,21,-2,1,934.6,0
2024,7,1,0,1.3,37.7,15.7,21.3,-2.5,1.4,935.3,0
2024,7,1,0,1.3,37.8,15.8,21.7,-2.9,1.7,937.9,0
2024,7,1,0,1.3,37.9,15.8,21.8,-3.3,2,937.2,0
2024,7,1,0,1.3,38,15.9,22.2,-3.5,2.2,941.6,0
2024,7,1,0,1.2,36.9,11.3,16.3,-1,0.2,861.7,0.2
2024,7,1,0,1.2,37,11.4,18.5,-0.8,0,878.9,0.2
2024,7,1,0,1.2,37.1,11.6,19.3,-0.7,-0.2,890.3,0.1
2024,7,1,0,1.2,37.2,10.8,17,-0.7,-0.3,866.9,0.1
2024,7,1,0,1.2,37.3,10.8,15.9,-0.8,-0.2,857.7,0
2024,7,1,0,1.2,37.4,13.4,17.5,-1,-0.1,891.9,0
2024,7,1,0,1.2,37.5,15.5,19.4,-1.4,0.3,927.6,0
2024,7,1,0,1.2,37.6,15.6,20.9,-1.9,0.7,933,0
2024,7,1,0,1.2,37.7,15.5,21,-2.3,1.1,931.5,0
2024,7,1,0,1.2,37.8,15.6,21.3,-2.7,1.5,932.9,0
2024,7,1,0,1.2,37.9,15.7,21.6,-3.1,1.8,934.5,0
2024,7,1,0,1.2,38,15.9,22,-3.3,2.1,940.3,0
2024,7,1,0,1.1,36.9,9.9,15.8,-0.9,-0.2,842.2,0.2
2024,7,1,0,1.1,37,11.1,18.2,-0.8,-0.4,872.6,0.1
2024,7,1,0,1.1,37.1,12,19.6,-0.8,-0.5,894.4,0.1
